# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.68
2                       5.46
4                      10.80
8                      21.61
16                     43.19
32                     86.78
64                    173.76
128                   328.81
256                   595.99
512                   998.78
1024                 1800.74
2048                 3109.22
4096                 2807.60
8192                 4461.37
16384                7429.92
32768                9310.50
65536               10617.97
131072              10720.25
262144              10845.71
524288              10923.07
1048576             10943.85
2097152             10972.67
4194304             10972.09
