# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.20
2                       4.46
4                       8.71
8                      17.56
16                     34.99
32                     68.68
64                    131.07
128                   258.00
256                   520.14
512                   907.44
1024                 1722.04
2048                 3147.37
4096                 2667.61
8192                 4334.16
16384                6789.14
32768                8952.41
65536               10114.05
131072              10451.22
262144              10641.41
524288              10729.77
1048576             10788.53
2097152             10844.05
4194304             10866.30
