# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.70
4                       0.81
8                       0.81
16                      0.81
32                      0.80
64                      0.76
128                     0.83
256                     0.76
512                     0.96
1024                    1.05
2048                    1.21
4096                    2.22
8192                    3.02
16384                   4.48
32768                   6.70
65536                   9.53
131072                 15.81
262144                 27.95
524288                 52.46
1048576               112.26
2097152               228.28
4194304               457.68
