# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.65
4                       0.64
8                       0.65
16                      0.64
32                      0.64
64                      0.65
128                     0.71
256                     0.88
512                     0.86
1024                    0.94
2048                    1.05
4096                    1.95
8192                    2.79
16384                   4.26
32768                   6.59
65536                   9.44
131072                 15.46
262144                 27.20
524288                 51.54
1048576               109.80
2097152               225.73
4194304               449.55
