# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.38        2384937.21
2                       4.97        2487225.28
4                      10.09        2522358.34
8                      20.24        2529661.17
16                     40.34        2521228.25
32                     80.08        2502397.71
64                    159.40        2490653.72
128                   304.78        2381064.70
256                   564.64        2205624.13
512                   992.79        1939043.62
1024                 1806.63        1764286.96
2048                 3226.46        1575418.43
4096                 3011.87         735320.70
8192                 4825.91         589100.74
16384                7413.28         452470.70
32768                9422.58         287554.26
65536               10646.31         162449.83
131072              10716.68          81761.79
262144              10867.87          41457.64
524288              10961.10          20906.64
1048576             10998.12          10488.63
2097152             11032.19           5260.56
4194304             11018.99           2627.13
