# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.01        2007722.58
2                       4.02        2010065.53
4                       8.04        2008874.52
8                      16.01        2001138.40
16                     31.90        1993473.31
32                     63.17        1973977.79
64                    123.80        1934307.82
128                   239.32        1869722.20
256                   485.87        1897934.31
512                   882.48        1723595.31
1024                 1685.96        1646442.94
2048                 3040.80        1484765.53
4096                 2752.19         671921.68
8192                 4488.53         547915.67
16384                6825.51         416596.09
32768                8867.89         270626.58
65536               10165.90         155119.37
131072              10480.30          79958.33
262144              10687.77          40770.59
524288              10799.44          20598.30
1048576             10915.75          10410.07
2097152             10971.23           5231.49
4194304             10986.84           2619.47
