# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.32
2                       4.71
4                       9.40
8                      18.68
16                     36.99
32                     72.76
64                    139.68
128                   273.57
256                   551.74
512                   937.38
1024                 1754.15
2048                 3157.86
4096                 2686.58
8192                 4368.33
16384                6802.05
32768                8974.97
65536               10181.06
131072              10501.81
262144              10715.05
524288              10894.30
1048576             10939.48
2097152             10902.33
4194304             10863.36
