# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.70
2                       5.43
4                      10.94
8                      21.79
16                     43.51
32                     86.90
64                    173.65
128                   323.29
256                   596.12
512                  1001.03
1024                 1873.77
2048                 3290.97
4096                 2873.93
8192                 4569.08
16384                7189.11
32768                9272.03
65536               10539.54
131072              10651.03
262144              10802.89
524288              10892.70
1048576             10916.24
2097152             10949.93
4194304             10956.19
