# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.71
2                       0.68
4                       0.71
8                       0.67
16                      0.71
32                      0.66
64                      0.69
128                     0.74
256                     0.75
512                     0.84
1024                    0.91
2048                    1.28
4096                    2.81
8192                    3.05
16384                   4.55
32768                   6.79
65536                   9.53
131072                 15.16
262144                 27.08
524288                 51.44
1048576               108.60
2097152               225.15
4194304               447.88
