# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.70
2                       0.66
4                       0.66
8                       0.66
16                      0.67
32                      0.70
64                      0.65
128                     0.73
256                     0.77
512                     0.93
1024                    1.02
2048                    1.13
4096                    2.07
8192                    2.88
16384                   4.32
32768                   6.44
65536                   9.37
131072                 15.58
262144                 27.33
524288                 51.73
1048576               109.99
2097152               225.61
4194304               452.05
