# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.51        2506211.19
2                       5.06        2528495.85
4                      10.15        2538218.23
8                      20.20        2524675.95
16                     40.27        2517028.39
32                     80.92        2528887.20
64                    163.49        2554598.56
128                   303.02        2367331.86
256                   563.74        2202113.03
512                   963.43        1881703.20
1024                 1770.15        1728665.85
2048                 3278.42        1600789.03
4096                 2904.05         708996.82
8192                 4695.89         573228.78
16384                7213.86         440299.17
32768                9342.67         285115.75
65536               10611.04         161911.66
131072              10717.41          81767.31
262144              10862.40          41436.75
524288              10921.79          20831.65
1048576             10970.90          10462.66
2097152             11006.82           5248.46
4194304             11012.38           2625.56
