# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.92        1915289.79
2                       3.84        1918241.20
4                       7.60        1900752.05
8                      15.25        1906308.40
16                     30.36        1897709.65
32                     60.20        1881226.64
64                    118.20        1846942.81
128                   225.05        1758212.20
256                   463.47        1810437.36
512                   905.06        1767699.00
1024                 1687.98        1648420.20
2048                 3136.32        1531405.51
4096                 2670.67         652018.24
8192                 4377.86         534407.23
16384                6720.04         410158.56
32768                8979.70         274038.79
65536               10203.84         155698.24
131072              10419.67          79495.77
262144              10642.00          40595.99
524288              10744.43          20493.37
1048576             10787.99          10288.23
2097152             10762.96           5132.18
4194304             10738.12           2560.17
