# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.55
2                       7.13
4                      14.37
8                      28.81
16                     56.49
32                    113.02
64                    225.96
128                   446.30
256                   831.70
512                  1157.83
1024                 2010.42
2048                 3698.07
4096                 3387.37
8192                 4928.57
16384                7405.94
32768                9202.71
65536               10405.24
131072              10804.25
262144              11061.05
524288              11215.05
1048576             11250.92
2097152             11283.69
4194304             11331.10
