# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.12
2                       6.22
4                      12.53
8                      24.47
16                     49.96
32                     94.53
64                    191.48
128                   371.08
256                   714.52
512                  1160.26
1024                 2078.63
2048                 3558.35
4096                 3019.63
8192                 4720.21
16384                7207.54
32768                9111.05
65536               10040.20
131072              10659.32
262144              10903.93
524288              11073.71
1048576             11129.01
2097152             11167.27
4194304             11181.86
