# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.57
4                       0.60
8                       0.58
16                      0.56
32                      0.56
64                      0.59
128                     0.58
256                     0.60
512                     0.75
1024                    0.83
2048                    0.99
4096                    2.01
8192                    2.80
16384                   4.34
32768                   6.91
65536                   9.62
131072                 15.49
262144                 27.53
524288                 54.25
1048576               109.41
2097152               213.47
4194304               414.55
