# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.65
2                       0.66
4                       0.65
8                       0.64
16                      0.65
32                      0.63
64                      0.65
128                     0.67
256                     0.71
512                     0.77
1024                    0.90
2048                    1.03
4096                    2.07
8192                    3.00
16384                   4.66
32768                   7.05
65536                   9.78
131072                 15.51
262144                 27.43
524288                 52.79
1048576               108.17
2097152               208.51
4194304               412.83
