# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.24        2242390.11
2                       4.42        2209664.04
4                       8.85        2213089.23
8                      17.71        2213997.84
16                     35.56        2222348.54
32                     70.42        2200674.33
64                    139.88        2185616.56
128                   261.18        2040464.26
256                   506.24        1977489.01
512                  1105.97        2160097.81
1024                 2033.96        1986288.71
2048                 3631.12        1773009.51
4096                 3106.23         758356.26
8192                 4986.47         608700.16
16384                7347.49         448455.06
32768                9311.93         284177.69
65536               10119.70         154414.40
131072              10693.43          81584.42
262144              10912.12          41626.45
524288              11078.56          21130.67
1048576             11147.15          10630.75
2097152             11197.40           5339.34
4194304             11207.18           2672.00
