# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.26        3257527.78
2                       6.52        3259440.46
4                      13.08        3269076.23
8                      26.01        3251221.37
16                     52.46        3278756.22
32                    100.00        3125117.95
64                    210.12        3283104.23
128                   409.44        3198767.51
256                   753.16        2942034.74
512                  1232.69        2407600.07
1024                 2221.95        2169868.20
2048                 3792.10        1851609.20
4096                 3278.62         800443.77
8192                 5097.58         622263.34
16384                7635.03         466005.02
32768                9396.12         286746.77
65536               10417.76         158962.40
131072              10528.56          80326.50
262144              10834.43          41330.07
524288              11143.90          21255.31
1048576             11212.22          10692.81
2097152             11249.52           5364.19
4194304             11256.28           2683.71
