# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.98
2                       6.41
4                      12.55
8                      25.66
16                     49.77
32                     99.43
64                    196.18
128                   376.50
256                   722.91
512                  1197.48
1024                 2132.34
2048                 3632.02
4096                 3033.71
8192                 4744.31
16384                7173.18
32768                9092.49
65536               10018.17
131072              10648.83
262144              10880.99
524288              11041.49
1048576             11092.36
2097152             11144.04
4194304             11128.52
