# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.45
2                       6.99
4                      14.13
8                      28.21
16                     55.45
32                    111.07
64                    219.45
128                   429.78
256                   819.84
512                  1130.57
1024                 1939.07
2048                 3515.92
4096                 3302.56
8192                 4951.36
16384                7464.45
32768                9250.62
65536               10428.22
131072              10867.96
262144              11074.46
524288              11217.12
1048576             11294.06
2097152             11327.80
4194304             11328.30
