# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.56
4                       0.55
8                       0.58
16                      0.56
32                      0.57
64                      0.56
128                     0.58
256                     0.59
512                     0.73
1024                    0.83
2048                    1.03
4096                    1.97
8192                    2.77
16384                   4.32
32768                   6.85
65536                   9.60
131072                 15.44
262144                 27.57
524288                 52.72
1048576               107.65
2097152               212.44
4194304               417.31
