# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.59
4                       0.58
8                       0.58
16                      0.59
32                      0.57
64                      0.58
128                     0.59
256                     0.63
512                     0.83
1024                    0.88
2048                    1.01
4096                    1.98
8192                    2.83
16384                   4.37
32768                   6.90
65536                   9.63
131072                 15.43
262144                 27.32
524288                 53.57
1048576               106.48
2097152               210.19
4194304               412.78
