# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.19        3186195.49
2                       6.60        3298274.39
4                      13.45        3362432.38
8                      26.18        3273078.85
16                     52.88        3304981.75
32                    105.50        3296719.32
64                    210.11        3282966.81
128                   417.07        3258335.78
256                   830.77        3245202.92
512                  1261.79        2464429.81
1024                 2260.31        2207337.64
2048                 3841.89        1875924.53
4096                 3399.74         830015.52
8192                 5158.87         629745.48
16384                7726.85         471609.28
32768                9497.78         289849.17
65536               10482.43         159949.25
131072              10897.77          83143.42
262144              11107.17          42370.50
524288              11241.82          21442.07
1048576             11300.86          10777.34
2097152             11333.62           5404.29
4194304             11342.06           2704.16
