# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.03        3034334.30
2                       6.04        3021959.73
4                      12.12        3030631.92
8                      24.18        3022320.93
16                     46.92        2932512.76
32                     93.58        2924345.09
64                    182.00        2843790.25
128                   351.97        2749734.54
256                   671.49        2623017.69
512                  1133.54        2213940.09
1024                 2060.05        2011766.57
2048                 3590.53        1753187.76
4096                 2981.08         727802.46
8192                 4759.81         581032.08
16384                7197.18         439280.82
32768                9206.12         280948.39
65536               10041.37         153219.17
131072              10653.47          81279.56
262144              10872.63          41475.81
524288              11034.27          21046.20
1048576             11079.04          10565.80
2097152             11126.81           5305.68
4194304             11118.08           2650.76
