# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       7.86
2                      16.09
4                      32.34
8                      64.49
16                    128.53
32                    248.69
64                    484.82
128                   931.46
256                  1793.61
512                  2784.99
1024                 5332.75
2048                 9590.04
4096                 4800.63
8192                 5397.59
16384                5389.14
32768                5338.69
65536               19143.53
131072              33301.89
262144              36110.92
524288              36529.98
1048576             32951.21
2097152             36138.40
4194304             34007.30
writing flamegraph to "laptop-2023-11-02-flamegraph/osu_bw.0.rsm.svg"
