# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                      12.71
2                      26.55
4                      47.72
8                      92.90
16                    188.59
32                    378.89
64                    745.93
128                  1522.85
256                  2678.16
512                  4258.47
1024                 7683.63
2048                12297.77
4096                10800.42
8192                18152.60
16384               26161.99
32768               35433.00
65536               39001.03
131072              39166.97
262144              38488.59
524288              30455.10
1048576             32756.11
2097152             38107.26
4194304             39243.78
writing flamegraph to "laptop-2023-11-02-flamegraph/osu_bw.0.sm.svg"
