# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.23
4                       0.22
8                       0.26
16                      0.25
32                      0.22
64                      0.24
128                     0.24
256                     0.25
512                     0.32
1024                    0.33
2048                    0.33
4096                    0.70
8192                    0.95
16384                   1.40
32768                   2.33
65536                   4.26
131072                  5.33
262144                 10.78
524288                 21.43
1048576                41.52
2097152                86.07
4194304               269.04
writing flamegraph to "laptop-2023-11-02-flamegraph/osu_latency.0.rsm.svg"
