# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.16
8                       0.16
16                      0.18
32                      0.16
64                      0.16
128                     0.21
256                     0.24
512                     0.24
1024                    0.24
2048                    0.28
4096                    0.52
8192                    0.71
16384                   1.14
32768                   2.06
65536                   3.55
131072                  8.36
262144                  9.68
524288                 18.84
1048576                37.26
2097152                74.97
4194304               251.27
writing flamegraph to "laptop-2023-11-02-flamegraph/osu_latency.0.sm.svg"
