# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.40        7396040.28
2                      14.73        7365736.44
4                      29.41        7353659.31
8                      58.37        7296521.39
16                    116.18        7261423.38
32                    224.94        7029231.50
64                    431.21        6737676.87
128                   783.33        6119736.27
256                  1525.16        5957639.88
512                  2737.07        5345839.93
1024                 5591.88        5460819.35
2048                10516.90        5135203.49
4096                 8809.90        2150854.19
8192                11285.50        1377624.00
16384               22438.81        1369556.51
32768               28861.46         880781.83
65536               31136.91         475111.61
131072              33183.59         253170.73
262144              33538.17         127937.95
524288              35254.03          67241.73
1048576             31256.75          29808.76
2097152             32486.89          15490.95
4194304             33647.74           8022.25
writing flamegraph to "laptop-2023-11-02-flamegraph/osu_mbw_mr.0.rsm.svg"
