# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                      10.01       10012875.93
2                      20.15       10074261.47
4                      39.08        9770424.04
8                      78.21        9776550.82
16                    154.53        9658285.34
32                    304.94        9529524.40
64                    620.10        9689056.97
128                  1207.08        9430298.02
256                  2246.97        8777226.72
512                  3942.47        7700136.47
1024                 7723.65        7542631.78
2048                13933.32        6803376.98
4096                12444.09        3038108.03
8192                20417.44        2492363.24
16384               30400.46        1855496.81
32768               36095.31        1101541.41
65536               39674.69         605387.77
131072              38244.87         291785.20
262144              24432.84          93203.87
524288              11116.18          21202.44
1048576             27120.63          25864.25
2097152             36204.59          17263.70
4194304             23098.25           5507.05
writing flamegraph to "laptop-2023-11-02-flamegraph/osu_mbw_mr.0.sm.svg"
