# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.39
2                       6.36
4                      12.31
8                      25.01
16                     50.70
32                    101.74
64                    204.78
128                   404.06
256                   789.09
512                  1223.64
1024                 2373.89
2048                 4465.53
4096                 4232.20
8192                 7806.83
16384               13253.95
32768               19694.15
65536               24234.96
131072              26557.63
262144              26064.79
524288              25289.84
1048576             29077.39
2097152             31519.48
4194304             17979.82
