# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.76
2                       6.75
4                      12.49
8                      24.79
16                     52.18
32                    104.54
64                    204.35
128                   394.11
256                   771.65
512                  1303.61
1024                 2556.69
2048                 4678.03
4096                 3188.61
8192                 4469.23
16384               10705.76
32768               19159.60
65536               22765.68
131072              25475.64
262144              27160.85
524288              26280.49
1048576             25337.28
2097152             28119.06
4194304             27188.42
