# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.44
2                       0.45
4                       0.43
8                       0.44
16                      0.44
32                      0.45
64                      0.47
128                     0.46
256                     0.48
512                     0.55
1024                    0.56
2048                    0.59
4096                    1.27
8192                    1.48
16384                   2.02
32768                   2.99
65536                   5.14
131072                  7.46
262144                 11.41
524288                 22.07
1048576                43.29
2097152                84.51
4194304               207.40
