# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.50
2                       0.50
4                       0.51
8                       0.51
16                      0.51
32                      0.55
64                      0.51
128                     0.52
256                     0.55
512                     0.59
1024                    0.66
2048                    0.66
4096                    1.35
8192                    1.61
16384                   1.91
32768                   2.75
65536                   4.30
131072                  6.77
262144                 11.58
524288                 22.16
1048576                43.07
2097152                86.15
4194304               199.57
