# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.30        3299795.38
2                       6.09        3046954.67
4                      12.12        3029441.39
8                      24.24        3030219.67
16                     48.68        3042782.18
32                     97.47        3045835.49
64                    191.94        2999017.12
128                   376.67        2942704.76
256                   740.40        2892177.19
512                  1418.38        2770274.35
1024                 2727.05        2663132.36
2048                 4970.63        2427066.92
4096                 4697.88        1146944.09
8192                 8390.00        1024169.44
16384               14230.47         868558.88
32768               20636.21         629767.01
65536               23810.48         363319.03
131072              27019.56         206142.88
262144              27157.05         103595.93
524288              24609.90          46939.65
1048576             26142.84          24931.75
2097152             27871.64          13290.23
4194304             27448.12           6544.14
