# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.78        3781333.96
2                       7.40        3701867.55
4                      14.37        3593590.72
8                      28.53        3565651.70
16                     57.07        3566986.76
32                    115.08        3596284.68
64                    229.83        3591076.89
128                   452.48        3535004.02
256                   881.08        3441699.55
512                  1397.00        2728510.52
1024                 2713.22        2649626.37
2048                 5116.82        2498447.55
4096                 4775.84        1165975.57
8192                 8928.45        1089898.25
16384               15035.74         917708.94
32768               22331.71         681509.61
65536               28002.65         427286.53
131072              30650.54         233845.02
262144              31322.42         119485.53
524288              28741.28          54819.65
1048576             30068.53          28675.58
2097152             32620.34          15554.59
4194304             29287.85           6982.77
