# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      11.13
4                      22.32
8                      44.31
16                     88.87
32                    178.83
64                    350.95
128                   689.11
256                  1381.44
512                  1368.82
1024                 2551.16
2048                 4215.59
4096                 3787.18
8192                 6380.89
16384               10047.68
32768               12850.86
65536               14892.88
131072              17731.16
262144              22607.63
524288              25246.34
1048576             26138.60
2097152             26972.95
4194304             27242.47
