# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       9.01
2                      17.95
4                      35.55
8                      71.21
16                    140.32
32                    282.32
64                    566.59
128                  1049.59
256                  1981.26
512                  3030.97
1024                 5608.29
2048                 9260.07
4096                 8659.24
8192                13458.70
16384               21800.11
32768               28331.63
65536               31735.43
131072              33330.18
262144              35723.27
524288              36578.80
1048576             36913.38
2097152             35303.75
4194304             35084.15
