# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.27
2                       0.29
4                       0.28
8                       0.29
16                      0.28
32                      0.28
64                      0.29
128                     0.30
256                     0.31
512                     0.30
1024                    0.34
2048                    0.40
4096                    0.78
8192                    1.09
16384                   1.67
32768                   2.73
65536                   4.15
131072                  6.65
262144                 12.63
524288                 25.32
1048576                49.58
2097152               103.32
4194304               277.65
