# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.29
4                       0.29
8                       0.29
16                      0.30
32                      0.29
64                      0.31
128                     0.34
256                     0.33
512                     0.38
1024                    0.42
2048                    0.49
4096                    1.44
8192                    1.67
16384                   2.22
32768                   3.34
65536                   5.66
131072                  9.17
262144                 17.63
524288                 34.06
1048576                67.82
2097152               141.93
4194304               349.68
