# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.62        4615177.82
2                       9.29        4646477.14
4                      18.81        4703698.94
8                      37.82        4726917.83
16                     76.49        4780590.68
32                    151.58        4736966.96
64                    292.93        4577070.79
128                   550.94        4304257.18
256                  1089.55        4256068.77
512                  1340.06        2617295.00
1024                 2501.79        2443156.81
2048                 4179.94        2040984.69
4096                 3731.17         910930.30
8192                 6232.89         760851.36
16384                9910.62         604896.38
32768               12877.42         392987.62
65536               14896.82         227307.44
131072              17748.31         135408.88
262144              21740.31          82932.70
524288              24466.43          46666.02
1048576             26188.75          24975.53
2097152             27075.62          12910.66
4194304             27411.74           6535.47
