# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       8.23        8231425.50
2                      16.63        8313655.52
4                      33.12        8279036.65
8                      66.04        8255039.44
16                    132.27        8266608.46
32                    261.37        8167831.58
64                    527.95        8249254.31
128                  1025.23        8009645.62
256                  1816.92        7097345.42
512                  3068.37        5992908.89
1024                 5779.13        5643680.25
2048                 9198.00        4491213.26
4096                 8294.42        2025003.86
8192                13498.33        1647745.82
16384               21675.69        1322979.09
32768               28198.90         860562.05
65536               31694.55         483620.39
131072              33952.97         259040.59
262144              34105.81         130103.36
524288              34889.94          66547.27
1048576             35101.16          33475.07
2097152             35233.93          16800.85
4194304             35013.27           8347.81
