# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.51
2                      11.02
4                      22.01
8                      44.38
16                     88.82
32                    176.93
64                    349.31
128                   690.72
256                  1391.03
512                  1813.58
1024                 3543.09
2048                 6280.72
4096                 5361.60
8192                 9053.21
16384               15574.96
32768               23452.11
65536               26602.85
131072              27899.98
262144              28258.93
524288              28721.95
1048576             28969.88
2097152             29086.58
4194304             28870.97
