# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.82
2                      17.65
4                      34.38
8                      69.43
16                    137.06
32                    278.16
64                    549.20
128                  1079.89
256                  1948.41
512                  2827.38
1024                 5553.25
2048                 9078.76
4096                 8352.44
8192                13387.00
16384               22070.95
32768               28465.31
65536               31986.36
131072              33352.42
262144              34284.60
524288              34867.05
1048576             35207.36
2097152             35327.13
4194304             35088.90
