# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.28
16                      0.27
32                      0.30
64                      0.28
128                     0.29
256                     0.31
512                     0.32
1024                    0.33
2048                    0.39
4096                    0.80
8192                    1.11
16384                   1.70
32768                   2.75
65536                   4.16
131072                  6.81
262144                 12.83
524288                 25.57
1048576                49.79
2097152               103.45
4194304               260.47
