# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.32
2                       0.31
4                       0.32
8                       0.33
16                      0.31
32                      0.30
64                      0.32
128                     0.35
256                     0.33
512                     0.36
1024                    0.41
2048                    0.49
4096                    1.07
8192                    1.35
16384                   1.84
32768                   2.93
65536                   4.45
131072                  7.48
262144                 14.23
524288                 28.16
1048576                56.10
2097152               117.96
4194304               263.55
