# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.07        7074379.36
2                      14.62        7311833.95
4                      29.26        7315917.79
8                      59.64        7454949.10
16                    119.64        7477806.11
32                    237.33        7416559.65
64                    482.51        7539145.24
128                   919.16        7180899.08
256                  1835.13        7168478.05
512                  3064.20        5984760.00
1024                 5885.88        5747924.93
2048                 9727.05        4749537.24
4096                 8498.28        2074775.43
8192                13654.32        1666787.42
16384               22083.38        1347862.50
32768               28414.21         867132.92
65536               32155.64         490656.16
131072              33410.60         254902.63
262144              34300.82         130847.23
524288              34806.60          66388.33
1048576             36587.89          34892.93
2097152             35424.01          16891.49
4194304             35313.91           8419.49
