# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.68        4682549.14
2                       9.51        4754453.99
4                      19.18        4795703.77
8                      38.37        4796585.07
16                     77.57        4848250.15
32                    155.21        4850283.13
64                    303.21        4737598.13
128                   570.08        4453750.93
256                  1109.95        4335753.43
512                  1810.06        3535278.57
1024                 3510.86        3428574.49
2048                 6036.91        2947708.16
4096                 5445.46        1329458.05
8192                 9536.00        1164062.71
16384               15842.88         966972.41
32768               22303.59         680651.59
65536               25766.49         393165.41
131072              27691.56         211269.85
262144              28836.76         110003.51
524288              31012.27          59151.22
1048576             31682.72          30215.00
2097152             28766.33          13716.85
4194304             28789.80           6864.02
