# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       4.99
2                       9.94
4                      20.29
8                      40.75
16                     80.95
32                    160.77
64                    318.21
128                   620.58
256                  1238.74
512                  1998.22
1024                 3952.86
2048                 6985.02
4096                 5964.96
8192                 9934.48
16384               16559.06
32768               22958.37
65536               26985.02
131072              29455.88
262144              30571.61
524288              31358.44
1048576             31654.44
2097152             31812.98
4194304             31765.51
