# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.73
4                      34.31
8                      69.55
16                    138.40
32                    275.56
64                    550.20
128                  1014.11
256                  1867.69
512                  3030.59
1024                 5479.06
2048                 9400.06
4096                 8458.48
8192                13350.55
16384               21906.36
32768               28339.20
65536               31881.27
131072              33410.38
262144              34238.06
524288              34792.87
1048576             35120.67
2097152             35395.13
4194304             35217.30
