# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.29
4                       0.29
8                       0.29
16                      0.29
32                      0.31
64                      0.30
128                     0.34
256                     0.34
512                     0.40
1024                    0.43
2048                    0.46
4096                    1.06
8192                    1.30
16384                   1.88
32768                   2.91
65536                   4.40
131072                  7.26
262144                 14.22
524288                 27.94
1048576                55.05
2097152               114.91
4194304               256.06
