# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.30
2                       0.28
4                       0.30
8                       0.27
16                      0.27
32                      0.29
64                      0.28
128                     0.27
256                     0.30
512                     0.32
1024                    0.32
2048                    0.39
4096                    0.79
8192                    1.10
16384                   1.68
32768                   2.75
65536                   4.17
131072                  6.77
262144                 12.78
524288                 25.55
1048576                49.79
2097152               104.41
4194304               251.78
