# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.72        7724390.84
2                      15.38        7690614.28
4                      31.67        7918347.98
8                      63.48        7934912.89
16                    124.94        7808881.53
32                    252.04        7876117.53
64                    499.82        7809696.25
128                   950.37        7424785.19
256                  1707.44        6669670.10
512                  2988.51        5836939.62
1024                 5713.22        5579312.68
2048                 9078.73        4432971.97
4096                 8308.44        2028428.04
8192                13564.40        1655809.99
16384               21910.96        1337338.97
32768               28231.45         861555.44
65536               31897.71         486720.49
131072              33361.77         254530.12
262144              34237.71         130606.49
524288              36548.99          69711.66
1048576             37035.29          35319.60
2097152             37201.18          17738.91
4194304             35250.80           8404.45
