# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.27        4266495.72
2                       8.61        4302528.82
4                      17.10        4275065.75
8                      34.17        4271825.89
16                     68.87        4304227.65
32                    136.95        4279801.95
64                    270.02        4219039.89
128                   505.49        3949157.31
256                   988.21        3860192.05
512                  1872.65        3657528.05
1024                 3702.42        3615644.76
2048                 6649.22        3246690.00
4096                 5798.05        1415538.65
8192                 9477.91        1156971.76
16384               16027.44         978237.29
32768               23133.39         705975.04
65536               27102.18         413546.43
131072              29310.81         223623.70
262144              30641.29         116887.24
524288              32888.54          62729.91
1048576             32026.90          30543.23
2097152             31826.79          15176.20
4194304             31765.17           7573.41
