# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       5.49
2                      11.00
4                      22.00
8                      44.09
16                     87.86
32                    176.16
64                    348.68
128                   688.04
256                  1401.14
512                  1820.57
1024                 3573.90
2048                 6313.26
4096                 5688.60
8192                10125.77
16384               16312.93
32768               23282.35
65536               26676.19
131072              28117.15
262144              28505.22
524288              28872.15
1048576             29088.49
2097152             29184.33
4194304             29164.15
