# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       8.83
2                      17.72
4                      33.12
8                      65.82
16                    134.06
32                    273.06
64                    549.99
128                   942.52
256                  1794.84
512                  2979.27
1024                 5586.48
2048                 9043.55
4096                 8249.40
8192                13456.36
16384               21831.85
32768               28361.93
65536               31963.33
131072              33599.86
262144              34620.73
524288              36391.05
1048576             36615.86
2097152             37025.40
4194304             35146.09
