# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.29
2                       0.28
4                       0.28
8                       0.27
16                      0.27
32                      0.30
64                      0.28
128                     0.28
256                     0.30
512                     0.32
1024                    0.33
2048                    0.39
4096                    0.79
8192                    1.10
16384                   1.68
32768                   2.71
65536                   4.16
131072                  6.70
262144                 12.68
524288                 25.16
1048576                49.30
2097152               102.91
4194304               275.14
