# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.28
4                       0.29
8                       0.30
16                      0.29
32                      0.28
64                      0.31
128                     0.31
256                     0.32
512                     0.36
1024                    0.39
2048                    0.45
4096                    1.05
8192                    1.31
16384                   1.87
32768                   2.94
65536                   4.46
131072                  7.22
262144                 14.17
524288                 28.04
1048576                55.89
2097152               117.68
4194304               260.67
