# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       7.93        7926373.89
2                      15.37        7683531.66
4                      31.34        7833909.37
8                      63.21        7900781.98
16                    117.55        7346706.94
32                    251.59        7862107.48
64                    494.05        7719488.27
128                   956.62        7473632.09
256                  1751.81        6843003.01
512                  3106.21        6066815.93
1024                 5884.96        5747035.61
2048                 9769.71        4770365.06
4096                 8392.42        2048931.30
8192                13488.77        1646578.83
16384               22718.67        1386637.65
32768               28497.67         869679.89
65536               31792.60         485116.57
131072              33383.92         254699.08
262144              34243.83         130629.85
524288              34942.55          66647.63
1048576             36595.15          34899.86
2097152             35954.83          17144.60
4194304             35254.04           8405.22
