# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       4.74        4736752.04
2                       9.62        4810039.88
4                      19.34        4834154.88
8                      38.37        4795863.33
16                     76.70        4793570.86
32                    153.53        4797834.98
64                    293.70        4589129.17
128                   563.92        4405662.38
256                  1107.69        4326925.16
512                  1795.36        3506568.02
1024                 3408.36        3328474.28
2048                 5962.57        2911409.18
4096                 5519.00        1347412.64
8192                 9360.57        1142648.18
16384               15631.97         954099.88
32768               22612.36         690074.33
65536               25981.66         396448.71
131072              27759.03         211784.56
262144              28057.03         107029.07
524288              28493.30          54346.66
1048576             31793.62          30320.76
2097152             28775.06          13721.02
4194304             28713.95           6845.94
